subNb	sessionNb	globalBlockNb	blockType	blockIndexWithinType	backboneTrials	nbTargetsPlanned	trialNbInBlock	baseIndex	origin	direction	isTarget	trialOnset	trialDurationPlanned	stimOnset	stimDurationAchieved	itiPlanned	itiAchieved	stimFrames	itiFrames	keyPressed	RT	outcome	refreshHz	dotLifeFrames	simulateOnly	droppedFramesStim	droppedFramesITI	droppedFramesTrial
999	1	1	tac_down	1	160	16	1	1	actual	pinky_to_thumb	0	4.1918	1.6014	4.1918	0.5004	1.0953	1.1010	30	66			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	2	2	actual	thumb_to_pinky	0	5.7916	1.6681	5.7916	0.5004	1.1609	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	3	3	actual	finger_to_wrist	0	7.4583	1.5514	7.4583	0.5004	1.0428	1.0509	30	63			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	4	4	actual	wrist_to_finger	0	9.0088	1.6515	9.0088	0.5004	1.1485	1.1510	30	69			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	5	5	actual	pinky_to_thumb	0	10.6586	1.8016	10.6586	0.5004	1.2934	1.3011	30	78			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	6	6	actual	thumb_to_pinky	0	12.4590	1.6014	12.4590	0.5004	1.1046	1.1010	30	66			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	7	7	actual	finger_to_wrist	0	14.0582	1.6348	14.0582	0.5004	1.1295	1.1343	30	68			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	8	7	duplicate	finger_to_wrist	1	15.6916	1.7182	15.6916	0.5004	1.2183	1.2177	30	73			MISS	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	9	8	actual	wrist_to_finger	0	17.4088	1.6681	17.4088	0.5004	1.1634	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	10	9	actual	pinky_to_thumb	0	19.0748	1.6515	19.0748	0.5004	1.1525	1.1510	30	69			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	11	10	actual	finger_to_wrist	0	20.7253	1.8016	20.7253	0.5004	1.3017	1.3011	30	78			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	12	11	actual	thumb_to_pinky	0	22.5267	1.9684	22.5267	0.5004	1.4640	1.4680	30	88			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	13	12	actual	wrist_to_finger	0	24.4919	1.7015	24.4919	0.5004	1.2037	1.2011	30	72			CORRECT_REJECT	59.947		0	1	0	1
999	1	1	tac_down	1	160	16	14	13	actual	pinky_to_thumb	0	26.1925	1.8683	26.1925	0.5004	1.3698	1.3679	30	82			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	15	14	actual	finger_to_wrist	0	28.0587	1.8349	28.0587	0.5004	1.3313	1.3345	30	80			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	16	15	actual	wrist_to_finger	0	29.8921	1.7349	29.8921	0.5004	1.2389	1.2344	30	74			CORRECT_REJECT	59.947		0	0	1	1
999	1	1	tac_down	1	160	16	17	16	actual	thumb_to_pinky	0	31.6255	1.5013	31.6255	0.5004	1.0074	1.0009	30	60			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	18	17	actual	finger_to_wrist	0	33.1255	1.8016	33.1255	0.5004	1.2977	1.3011	30	78			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	19	18	actual	thumb_to_pinky	0	34.9257	1.7849	34.9257	0.5004	1.2832	1.2845	30	77			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	20	19	actual	wrist_to_finger	0	36.7092	1.7349	36.7092	0.5004	1.2372	1.2344	30	74			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	21	19	duplicate	wrist_to_finger	1	38.4424	1.5680	38.4424	0.5004	1.0598	1.0676	30	64			MISS	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	22	20	actual	pinky_to_thumb	0	40.0089	1.9517	40.0089	0.5004	1.4497	1.4513	30	87			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	23	21	actual	finger_to_wrist	0	41.9592	1.8183	41.9592	0.5004	1.3156	1.3178	30	79			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	24	21	duplicate	finger_to_wrist	1	43.7770	1.5680	43.7770	0.5004	1.0733	1.0676	30	64	a	1.2209	HIT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	25	22	actual	thumb_to_pinky	0	45.3422	1.5347	45.3422	0.5004	1.0413	1.0342	30	62			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	26	23	actual	pinky_to_thumb	0	46.8754	1.5180	46.8754	0.5004	1.0157	1.0176	30	61			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	27	24	actual	wrist_to_finger	0	48.3757	1.6014	48.3757	0.5004	1.0941	1.1010	30	66			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	28	25	actual	thumb_to_pinky	0	49.9760	1.7682	49.9760	0.5004	1.2660	1.2678	30	76			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	29	26	actual	wrist_to_finger	0	51.7256	1.7515	51.7256	0.5004	1.2446	1.2511	30	75			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	30	27	actual	finger_to_wrist	0	53.4760	1.6681	53.4760	0.5004	1.1609	1.1677	30	70			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	31	28	actual	pinky_to_thumb	0	55.1427	1.6014	55.1427	0.5004	1.0958	1.1010	30	66			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	32	29	actual	wrist_to_finger	0	56.7426	1.7182	56.7426	0.5004	1.2146	1.2177	30	73			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	33	30	actual	thumb_to_pinky	0	58.4590	1.7349	58.4590	0.5004	1.2421	1.2344	30	74	a	0.8946	FALSE_ALARM	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	34	31	actual	finger_to_wrist	0	60.1935	1.8683	60.1935	0.5004	1.3668	1.3679	30	82			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	35	32	actual	pinky_to_thumb	0	62.0589	1.7682	62.0589	0.5004	1.2688	1.2678	30	76			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	36	33	actual	finger_to_wrist	0	63.8261	1.8850	63.8261	0.5004	1.3840	1.3845	30	83			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	37	34	actual	thumb_to_pinky	0	65.7095	1.8516	65.7095	0.5004	1.3539	1.3512	30	81	a	1.1653	FALSE_ALARM	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	38	35	actual	wrist_to_finger	0	67.5595	1.8183	67.5595	0.5004	1.3101	1.3178	30	79			CORRECT_REJECT	59.947		0	0	0	0
